Nr,Opcja,Poprawna
1,Instrukcja SELECT służy do: - (0)
,sprowadzania rekordów z bazy danych,+
,wstawiania rekordów do bazy danych,
,usuwania rekordów z bazy danych,
,aktualizacji rekordów w bazie danych,
2,Instrukcja INSERT służy do: - (0)
,sprowadzania rekordów z bazy danych,
,wstawiania rekordów do bazy danych,+
,usuwania rekordów z bazy danych,
,aktualizacji rekordów w bazie danych,
3,Instrukcja DELETE służy do: - (0)
,sprowadzania rekordów z bazy danych,
,wstawiania rekordów do bazy danych,
,usuwania rekordów z bazy danych,+
,aktualizacji rekordów w bazie danych,
4,Instrukcja UPDATE służy do: - (0)
,sprowadzania rekordów z bazy danych,
,wstawiania rekordów do bazy danych,
,usuwania rekordów z bazy danych,
,aktualizacji rekordów w bazie danych,+
5,INDEKS w bazie danych przyśpiesza: - (2)
,wyszukiwania rekordów w bazie danych,+
,wstawiania rekordów do bazy danych,
,usuwania rekordów z bazy danych,
,autoryzację użytkowników w bazie danych,
6,Instrukcja COMMIT służy do: - (1)
,wycofywania zmian w bazie danych,
,wstawiania rekordów do bazy danych,
,zatwierdzania zmian w bazie danych,+
,aktualizacji rekordów w bazie danych,
7,Instrukcja ROLLBACK służy do: - (0)
,wycofywania zmian w bazie danych,+
,zatwierdzania zmian w bazie danych,
,usuwania rekordów z bazy danych,
,aktualizacji rekordów w bazie danych,
8,Instrukcja GRANT służy do: - (0)
,przyznawania uprawnień w bazie danych,+
,zatwierdzania zmian w bazie danych,
,odbierania uprawnień w bazie danych,
,aktualizacji rekordów w bazie danych,
9,Instrukcja REVOKE służy do: - (0)
,przyznawania uprawnień w bazie danych,
,zatwierdzania zmian w bazie danych,
,odbierania uprawnień w bazie danych,+
,wycofywania zmian w bazie danych,
10,Instrukcja ALTER TABLE służy do: - (3)
,tworzenia tabeli,
,usuwania tabeli,
,zmiany schematu tabeli,+
,aktualizacji indeksów założonych na tabeli,
11,Jaka jest wartość wyrażenia Null=Null: - (2)
,jest nieokreślone,
,True,
,False,
,Null,+
12,Jaka jest wartość wyrażenia True OR Null: - (0)
,jest nieokreślone,
,True,+
,False,
,Null,
13,Jaka jest wartość wyrażenia False OR Null: - (0)
,jest nieokreślone,
,True,
,False,
,Null,+
14,Jaka jest wartość wyrażenia False AND Null: - (0)
,jest nieokreślone,
,True,
,False,+
,Null,
15,Jaka jest wartość wyrażenia True AND Null: - (0)
,jest nieokreślone,
,True,
,False,
,Null,+
16,Jaka jest wartość wyrażenia NOT Null: - (0)
,jest nieokreślone,
,True,
,False,
,Null,+
17,Co będzie wynikiem realizacji instrukcji SELECT * FROM Emp WHERE EmpNo=EmpNo OR EmpNo=NULL - (5)
,relacja Emp,+
,relacja pusta,
,instrukcja jest niepoprawna,
18,Co będzie wynikiem realizacji instrukcji SELECT * FROM Emp WHERE EmpNo=EmpNo AND NULL=EmpNo - (0)
,relacja Emp,
,relacja pusta,+
,instrukcja jest niepoprawna,
19,Relacja R ma atrybut a. Jaka liczba może być wynikiem wykonania instrukcji SELECT Count(*) FROM R WHERE a=a - (13)
,0,+
,1,+
,zawsze tyle jaka jest liczebność relacji R.,
,dowolna liczba całkowita,
20,"Relacja R ma atrybut a. Jaka liczba może być wynikiem wykonania instrukcji SELECT Count(*) FROM R WHERE a<a <zzzz="""" src=""question.png"" height=""16"" width=""16"" onclick=""window.open('?comment=660','komentarze','width=560,height=360')""> - (4)"
,zawsze 0,+
,1dowolna liczba całkowita,
,tyle jaka jest liczebność relacji R.,
21,Encji odpowiada w relacyjnej bazie danych: - (0)
,wiersz w tabeli,
,kolumna w tabeli,
,tabela,+
,klucz obcy,
22,Związkowi jednoznacznemu odpowiada w relacyjnej bazie danych: - (2)
,kolumna w tabeli,
,klucz obcy,+
,indeks w tabeli,
,wartość NULL,
